epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41358,2.06673,3.93537,1.97232,0,0,0,0,5.41242,7.63159,5.22824,0,0,0
2,9.09809,2.58549,4.47055,2.44439,0,0,0,0,5.41991,8.80548,5.37647,9.604e-06,9.604e-06,9.604e-06
3,11.3893,2.46367,4.32441,2.8012,0,0,0,0,5.39527,8.73083,5.3727,1.8416e-05,1.8416e-05,1.8416e-05
4,13.843,1.94799,4.71944,2.1597,0,0,0,0,5.34863,9.40598,5.46193,2.6436e-05,2.6436e-05,2.6436e-05
5,16.005,1.27215,5.61295,2.51667,0,0,0,0,5.29605,8.66608,5.41528,3.3664e-05,3.3664e-05,3.3664e-05
6,18.1836,3.32832,4.50508,3.30537,0,0,0,0,5.3248,8.07129,5.36879,4.01e-05,4.01e-05,4.01e-05
7,20.5354,3.11878,4.80517,2.71793,0,0,0,0,5.32555,8.11655,5.3393,4.5744e-05,4.5744e-05,4.5744e-05
8,23.1071,2.88189,4.57844,2.80498,0,0,0,0,5.32363,7.48278,5.21051,5.0596e-05,5.0596e-05,5.0596e-05
9,25.4616,3.37378,4.3007,2.9381,0,0,0,0,5.26844,6.74148,4.86979,5.4656e-05,5.4656e-05,5.4656e-05
10,27.7124,1.8168,6.46861,2.06933,0,0,0,0,5.16405,6.64882,4.78407,5.7924e-05,5.7924e-05,5.7924e-05
11,30.1457,3.59335,6.42634,3.46054,0,0,0,0,5.14525,6.51585,4.77823,6.04e-05,6.04e-05,6.04e-05
12,32.4405,2.9045,5.07879,3.20225,0,0,0,0,5.02678,6.48897,4.5929,6.2084e-05,6.2084e-05,6.2084e-05
13,34.769,2.32347,5.47401,2.72534,0,0,0,0,4.96132,6.41787,4.53141,6.2976e-05,6.2976e-05,6.2976e-05
14,37.4003,3.35629,5.31309,2.57059,0,0,0,0,4.89768,6.35082,4.48819,6.3076e-05,6.3076e-05,6.3076e-05
15,39.6518,2.49303,6.90662,2.35593,0,0,0,0,4.84153,6.29002,4.48454,6.2384e-05,6.2384e-05,6.2384e-05
16,42.009,3.33927,6.03871,3.0144,0,0,0,0,4.77484,6.22332,4.4555,6.09e-05,6.09e-05,6.09e-05
17,44.3198,5.05073,9.16697,4.68114,0,0,0,0,4.73596,6.19696,4.46492,5.8624e-05,5.8624e-05,5.8624e-05
18,46.4672,2.12152,5.25232,2.77782,0,0,0,0,4.73596,6.19696,4.46492,5.5556e-05,5.5556e-05,5.5556e-05
19,48.7689,3.2074,5.20016,4.07559,0,0,0,0,4.7079,6.19527,4.53965,5.1696e-05,5.1696e-05,5.1696e-05
20,50.8508,2.0094,5.7736,3.88883,0,0,0,0,4.7079,6.19527,4.53965,4.7044e-05,4.7044e-05,4.7044e-05
21,53.2894,3.51288,5.08624,4.11309,0,0,0,0,4.65187,6.15945,4.56874,4.16e-05,4.16e-05,4.16e-05
22,55.6056,1.8272,5.91754,2.07244,0,0,0,0,4.65187,6.15945,4.56874,3.5364e-05,3.5364e-05,3.5364e-05
23,57.9934,1.84279,5.88317,2.48146,0,0,0,0,4.67958,6.17683,4.68171,2.8336e-05,2.8336e-05,2.8336e-05
24,60.0423,2.46533,4.49798,2.50044,0,0,0,0,4.67958,6.17683,4.68171,2.0516e-05,2.0516e-05,2.0516e-05
25,62.3436,2.30914,5.33378,2.65031,0,0,0,0,4.65674,6.1643,4.715,1.1904e-05,1.1904e-05,1.1904e-05
